link_id,link_length,free_v,lane_number,shockwave,jam_density,sat_flow
92462250_0,120.77972527628569,11.175999999999998,1,5,7,1800
1986595691_0,95.77315668022447,11.175999999999998,1,5,7,1800
92462251_0,120.77972527628569,11.175999999999998,1,5,7,1800
1986595690_0,95.77315668022447,11.175999999999998,1,5,7,1800
6316532940_0,167.8098516671011,11.175999999999998,2,5,7,3600
9436008871_0,143.8637648023065,11.175999999999998,2,5,7,3600
-1017931_0,55.07136018870922,11.175999999999998,2,5,7,3600
-1017891_1,70.9752399065882,11.175999999999998,1,5,7,1800
-1017891_0,70.9752399065882,11.175999999999998,2,5,7,3600
-1018360_0,125.50692714425452,11.175999999999998,2,5,7,3600
92478060_0,77.56993408046499,11.175999999999998,1,5,7,1800
92478061_0,77.56993408046499,11.175999999999998,1,5,7,1800
92589250_0,118.77771601888212,11.175999999999998,1,5,7,1800
-1018850_0,143.8637648023065,11.175999999999998,2,5,7,3600
92589251_0,118.77771601888212,11.175999999999998,1,5,7,1800
3545875221_0,47.91140154955533,11.175999999999998,2,5,7,3600
-1018811_0,77.5955255946992,11.175999999999998,3,5,7,5400
6115824850_0,70.31320491909983,11.175999999999998,1,5,7,1800
-1017890_0,126.0466000952974,11.175999999999998,2,5,7,3600
2904058730_0,99.03698842360298,11.175999999999998,2,5,7,3600
2904058740_0,82.59409922651955,11.175999999999998,2,5,7,3600
6292781741_0,120.53199573962738,11.175999999999998,1,5,7,1800
3545875211_0,103.07931874980343,11.175999999999998,1,5,7,1800
2340132660_0,126.44659148592541,13.4112,2,5,7,3600
3545875210_0,103.07931874980343,11.175999999999998,1,5,7,1800
6316532941_0,167.8098516671011,11.175999999999998,2,5,7,3600
6316532951_0,130.60531525592836,13.4112,2,5,7,3600
5331465911_0,126.44659148592541,13.4112,2,5,7,3600
3545875230_0,120.53199573962738,11.175999999999998,1,5,7,1800
2904058720_1,96.64018980600152,11.175999999999998,1,5,7,1800
2904058720_0,96.64018980600152,11.175999999999998,1,5,7,1800
6115824851_0,70.31320491909983,11.175999999999998,1,5,7,1800
6316532950_0,130.60531525592836,13.4112,2,5,7,3600
2904058741_0,82.59409922651955,11.175999999999998,2,5,7,3600
